Date,ProductID,ProductName,Category,UnitsSold,UnitPrice,IsPromotion,IsHoliday
2024-11-27,P001,Wireless Headphones,Electronics,14,157.25,False,False
2024-11-28,P001,Wireless Headphones,Electronics,11,139.19,False,False
2024-11-29,P001,Wireless Headphones,Electronics,15,157.22,False,False
2024-11-30,P001,Wireless Headphones,Electronics,27,152.71,True,False
2024-12-01,P001,Wireless Headphones,Electronics,12,137.81,False,False
2024-12-02,P001,Wireless Headphones,Electronics,10,153.06,False,False
2024-12-03,P001,Wireless Headphones,Electronics,19,156.48,False,False
2024-12-04,P001,Wireless Headphones,Electronics,14,147.59,False,False
2024-12-05,P001,Wireless Headphones,Electronics,8,143.35,False,False
2024-12-06,P001,Wireless Headphones,Electronics,13,157.76,False,False
2024-12-07,P001,Wireless Headphones,Electronics,10,147.68,False,False
2024-12-08,P001,Wireless Headphones,Electronics,10,141.46,False,False
2024-12-09,P001,Wireless Headphones,Electronics,11,138.07,False,False
2024-12-10,P001,Wireless Headphones,Electronics,0,145.77,False,False
2024-12-11,P001,Wireless Headphones,Electronics,5,142.94,True,False
2024-12-12,P001,Wireless Headphones,Electronics,7,148.78,False,False
2024-12-13,P001,Wireless Headphones,Electronics,5,162.67,False,False
2024-12-14,P001,Wireless Headphones,Electronics,13,143.8,False,False
2024-12-15,P001,Wireless Headphones,Electronics,7,161.56,False,False
2024-12-16,P001,Wireless Headphones,Electronics,2,140.77,False,False
2024-12-17,P001,Wireless Headphones,Electronics,17,154.84,False,False
2024-12-18,P001,Wireless Headphones,Electronics,8,164.56,False,False
2024-12-19,P001,Wireless Headphones,Electronics,10,160.99,False,False
2024-12-20,P001,Wireless Headphones,Electronics,2,148.6,False,False
2024-12-21,P001,Wireless Headphones,Electronics,15,139.88,False,True
2024-12-22,P001,Wireless Headphones,Electronics,18,155.11,False,True
2024-12-23,P001,Wireless Headphones,Electronics,9,155.51,False,True
2024-12-24,P001,Wireless Headphones,Electronics,17,154.05,False,True
2024-12-25,P001,Wireless Headphones,Electronics,12,142.34,False,True
2024-12-26,P001,Wireless Headphones,Electronics,14,143.1,False,True
2024-12-27,P001,Wireless Headphones,Electronics,12,155.64,False,True
2024-12-28,P001,Wireless Headphones,Electronics,28,144.73,False,True
2024-12-29,P001,Wireless Headphones,Electronics,19,136.68,False,True
2024-12-30,P001,Wireless Headphones,Electronics,11,159.15,False,True
2024-12-31,P001,Wireless Headphones,Electronics,20,136.99,False,True
2025-01-01,P001,Wireless Headphones,Electronics,5,152.02,False,False
2025-01-02,P001,Wireless Headphones,Electronics,12,141.38,False,False
2025-01-03,P001,Wireless Headphones,Electronics,1,161.54,False,False
2025-01-04,P001,Wireless Headphones,Electronics,7,139.29,False,False
2025-01-05,P001,Wireless Headphones,Electronics,15,157.35,False,False
2025-01-06,P001,Wireless Headphones,Electronics,15,157.41,False,False
2025-01-07,P001,Wireless Headphones,Electronics,13,152.51,False,False
2025-01-08,P001,Wireless Headphones,Electronics,12,164.92,False,False
2025-01-09,P001,Wireless Headphones,Electronics,11,149.81,False,False
2025-01-10,P001,Wireless Headphones,Electronics,5,160.83,False,False
2025-01-11,P001,Wireless Headphones,Electronics,12,139.8,False,False
2025-01-12,P001,Wireless Headphones,Electronics,14,152.89,False,False
2025-01-13,P001,Wireless Headphones,Electronics,19,152.88,False,False
2025-01-14,P001,Wireless Headphones,Electronics,15,142.54,False,False
2025-01-15,P001,Wireless Headphones,Electronics,5,163.27,False,False
2025-01-16,P001,Wireless Headphones,Electronics,16,138.44,False,False
2025-01-17,P001,Wireless Headphones,Electronics,13,157.53,False,False
2025-01-18,P001,Wireless Headphones,Electronics,15,145.21,False,False
2025-01-19,P001,Wireless Headphones,Electronics,29,139.74,True,False
2025-01-20,P001,Wireless Headphones,Electronics,21,156.66,False,False
2025-01-21,P001,Wireless Headphones,Electronics,21,164.16,False,False
2025-01-22,P001,Wireless Headphones,Electronics,12,150.23,False,False
2025-01-23,P001,Wireless Headphones,Electronics,15,153.76,False,False
2025-01-24,P001,Wireless Headphones,Electronics,19,150.23,False,False
2025-01-25,P001,Wireless Headphones,Electronics,26,146.22,False,False
2025-01-26,P001,Wireless Headphones,Electronics,19,163.6,False,False
2025-01-27,P001,Wireless Headphones,Electronics,17,162.55,False,False
2025-01-28,P001,Wireless Headphones,Electronics,13,149.66,False,False
2025-01-29,P001,Wireless Headphones,Electronics,13,145.89,False,False
2025-01-30,P001,Wireless Headphones,Electronics,23,159.2,False,False
2025-01-31,P001,Wireless Headphones,Electronics,26,142.23,False,False
2025-02-01,P001,Wireless Headphones,Electronics,23,137.36,False,False
2025-02-02,P001,Wireless Headphones,Electronics,29,159.48,False,False
2025-02-03,P001,Wireless Headphones,Electronics,22,150.98,False,False
2025-02-04,P001,Wireless Headphones,Electronics,17,154.79,False,False
2025-02-05,P001,Wireless Headphones,Electronics,23,139.95,False,False
2025-02-06,P001,Wireless Headphones,Electronics,29,153.2,False,False
2025-02-07,P001,Wireless Headphones,Electronics,21,162.87,False,False
2025-02-08,P001,Wireless Headphones,Electronics,34,155.7,False,False
2025-02-09,P001,Wireless Headphones,Electronics,14,146.97,False,False
2025-02-10,P001,Wireless Headphones,Electronics,27,146.2,False,False
2025-02-11,P001,Wireless Headphones,Electronics,23,148.54,False,False
2025-02-12,P001,Wireless Headphones,Electronics,31,136.92,True,False
2025-02-13,P001,Wireless Headphones,Electronics,24,151.62,False,False
2025-02-14,P001,Wireless Headphones,Electronics,14,135.22,False,False
2025-02-15,P001,Wireless Headphones,Electronics,28,136.77,False,False
2025-02-16,P001,Wireless Headphones,Electronics,31,135.94,False,False
2025-02-17,P001,Wireless Headphones,Electronics,32,150.42,False,False
2025-02-18,P001,Wireless Headphones,Electronics,22,149.56,False,False
2025-02-19,P001,Wireless Headphones,Electronics,21,156.7,False,False
2025-02-20,P001,Wireless Headphones,Electronics,23,152.29,False,False
2025-02-21,P001,Wireless Headphones,Electronics,30,149.19,False,False
2025-02-22,P001,Wireless Headphones,Electronics,33,137.83,False,False
2025-02-23,P001,Wireless Headphones,Electronics,29,145.63,False,False
2025-02-24,P001,Wireless Headphones,Electronics,29,160.92,False,False
2025-02-25,P001,Wireless Headphones,Electronics,27,154.6,False,False
2025-02-26,P001,Wireless Headphones,Electronics,32,136.82,False,False
2025-02-27,P001,Wireless Headphones,Electronics,24,159.02,False,False
2025-02-28,P001,Wireless Headphones,Electronics,26,140.75,False,False
2025-03-01,P001,Wireless Headphones,Electronics,31,139.21,False,False
2025-03-02,P001,Wireless Headphones,Electronics,26,148.88,False,False
2025-03-03,P001,Wireless Headphones,Electronics,30,137.26,False,False
2025-03-04,P001,Wireless Headphones,Electronics,30,160.68,False,False
2025-03-05,P001,Wireless Headphones,Electronics,28,154.56,False,False
2025-03-06,P001,Wireless Headphones,Electronics,27,135.44,False,False
2025-03-07,P001,Wireless Headphones,Electronics,22,157.61,False,False
2025-03-08,P001,Wireless Headphones,Electronics,33,147.19,False,False
2025-03-09,P001,Wireless Headphones,Electronics,33,160.94,False,False
2025-03-10,P001,Wireless Headphones,Electronics,37,139.94,True,False
2025-03-11,P001,Wireless Headphones,Electronics,28,146.71,False,False
2025-03-12,P001,Wireless Headphones,Electronics,31,158.55,False,False
2025-03-13,P001,Wireless Headphones,Electronics,39,155.9,False,False
2025-03-14,P001,Wireless Headphones,Electronics,30,158.5,False,False
2025-03-15,P001,Wireless Headphones,Electronics,37,149.6,False,False
2025-03-16,P001,Wireless Headphones,Electronics,35,141.53,False,False
2025-03-17,P001,Wireless Headphones,Electronics,20,157.07,False,False
2025-03-18,P001,Wireless Headphones,Electronics,29,144.41,False,False
2025-03-19,P001,Wireless Headphones,Electronics,30,149.3,False,False
2025-03-20,P001,Wireless Headphones,Electronics,42,150.93,False,False
2025-03-21,P001,Wireless Headphones,Electronics,28,150.23,False,False
2025-03-22,P001,Wireless Headphones,Electronics,37,137.06,False,False
2025-03-23,P001,Wireless Headphones,Electronics,35,160.85,False,False
2025-03-24,P001,Wireless Headphones,Electronics,23,163.25,False,False
2025-03-25,P001,Wireless Headphones,Electronics,47,152.37,True,False
2025-03-26,P001,Wireless Headphones,Electronics,33,137.46,False,False
2025-03-27,P001,Wireless Headphones,Electronics,33,151.96,False,False
2025-03-28,P001,Wireless Headphones,Electronics,24,142.82,False,False
2025-03-29,P001,Wireless Headphones,Electronics,42,144.43,False,False
2025-03-30,P001,Wireless Headphones,Electronics,28,138.93,False,False
2025-03-31,P001,Wireless Headphones,Electronics,32,148.72,False,False
2025-04-01,P001,Wireless Headphones,Electronics,51,163.07,True,False
2025-04-02,P001,Wireless Headphones,Electronics,23,153.63,False,False
2025-04-03,P001,Wireless Headphones,Electronics,25,138.0,False,False
2025-04-04,P001,Wireless Headphones,Electronics,28,150.18,False,False
2025-04-05,P001,Wireless Headphones,Electronics,31,145.47,False,False
2025-04-06,P001,Wireless Headphones,Electronics,25,142.33,False,False
2025-04-07,P001,Wireless Headphones,Electronics,28,148.15,False,False
2025-04-08,P001,Wireless Headphones,Electronics,22,144.08,False,False
2025-04-09,P001,Wireless Headphones,Electronics,29,159.21,False,False
2025-04-10,P001,Wireless Headphones,Electronics,22,155.04,False,False
2025-04-11,P001,Wireless Headphones,Electronics,34,162.95,False,False
2025-04-12,P001,Wireless Headphones,Electronics,28,161.34,False,False
2025-04-13,P001,Wireless Headphones,Electronics,30,161.69,False,False
2025-04-14,P001,Wireless Headphones,Electronics,30,139.66,False,False
2025-04-15,P001,Wireless Headphones,Electronics,19,141.32,False,False
2025-04-16,P001,Wireless Headphones,Electronics,26,155.62,False,False
2025-04-17,P001,Wireless Headphones,Electronics,31,150.16,False,False
2025-04-18,P001,Wireless Headphones,Electronics,16,162.24,False,False
2025-04-19,P001,Wireless Headphones,Electronics,30,154.03,False,False
2025-04-20,P001,Wireless Headphones,Electronics,30,136.32,False,False
2025-04-21,P001,Wireless Headphones,Electronics,27,138.92,False,False
2025-04-22,P001,Wireless Headphones,Electronics,17,139.85,False,False
2025-04-23,P001,Wireless Headphones,Electronics,16,156.17,False,False
2025-04-24,P001,Wireless Headphones,Electronics,25,138.36,False,False
2025-04-25,P001,Wireless Headphones,Electronics,24,155.73,False,False
2025-04-26,P001,Wireless Headphones,Electronics,28,136.08,False,False
2025-04-27,P001,Wireless Headphones,Electronics,28,151.58,False,False
2025-04-28,P001,Wireless Headphones,Electronics,18,136.25,False,False
2025-04-29,P001,Wireless Headphones,Electronics,22,162.99,False,False
2025-04-30,P001,Wireless Headphones,Electronics,22,136.2,False,False
2025-05-01,P001,Wireless Headphones,Electronics,17,155.46,False,False
2025-05-02,P001,Wireless Headphones,Electronics,29,145.61,False,False
2025-05-03,P001,Wireless Headphones,Electronics,26,161.24,False,False
2025-05-04,P001,Wireless Headphones,Electronics,17,157.48,False,False
2025-05-05,P001,Wireless Headphones,Electronics,22,142.1,False,False
2025-05-06,P001,Wireless Headphones,Electronics,14,159.0,False,False
2025-05-07,P001,Wireless Headphones,Electronics,22,147.37,False,False
2025-05-08,P001,Wireless Headphones,Electronics,24,162.73,False,False
2025-05-09,P001,Wireless Headphones,Electronics,13,147.35,False,False
2025-05-10,P001,Wireless Headphones,Electronics,25,157.05,False,False
2025-05-11,P001,Wireless Headphones,Electronics,22,139.78,False,False
2025-05-12,P001,Wireless Headphones,Electronics,27,146.48,True,False
2025-05-13,P001,Wireless Headphones,Electronics,26,149.12,False,False
2025-05-14,P001,Wireless Headphones,Electronics,15,162.55,False,False
2025-05-15,P001,Wireless Headphones,Electronics,12,159.62,False,False
2025-05-16,P001,Wireless Headphones,Electronics,11,141.69,False,False
2025-05-17,P001,Wireless Headphones,Electronics,14,146.95,False,False
2025-05-18,P001,Wireless Headphones,Electronics,17,137.08,False,False
2025-05-19,P001,Wireless Headphones,Electronics,16,145.53,False,False
2025-05-20,P001,Wireless Headphones,Electronics,15,155.39,False,False
2025-05-21,P001,Wireless Headphones,Electronics,24,144.93,True,False
2025-05-22,P001,Wireless Headphones,Electronics,13,161.31,False,False
2025-05-23,P001,Wireless Headphones,Electronics,20,152.42,False,False
2025-05-24,P001,Wireless Headphones,Electronics,14,136.15,False,False
2025-05-25,P001,Wireless Headphones,Electronics,29,145.37,False,False
2025-05-26,P001,Wireless Headphones,Electronics,16,148.09,False,False
2025-05-27,P001,Wireless Headphones,Electronics,8,138.47,False,False
2025-05-28,P001,Wireless Headphones,Electronics,12,140.7,True,False
2025-05-29,P001,Wireless Headphones,Electronics,14,148.08,False,False
2025-05-30,P001,Wireless Headphones,Electronics,10,159.2,False,False
2025-05-31,P001,Wireless Headphones,Electronics,17,163.21,False,False
2025-06-01,P001,Wireless Headphones,Electronics,16,140.91,False,False
2025-06-02,P001,Wireless Headphones,Electronics,11,163.47,False,False
2025-06-03,P001,Wireless Headphones,Electronics,7,153.69,False,False
2025-06-04,P001,Wireless Headphones,Electronics,3,138.74,False,False
2025-06-05,P001,Wireless Headphones,Electronics,8,150.21,False,False
2025-06-06,P001,Wireless Headphones,Electronics,15,144.79,False,False
2025-06-07,P001,Wireless Headphones,Electronics,13,151.63,False,False
2025-06-08,P001,Wireless Headphones,Electronics,6,154.95,False,False
2025-06-09,P001,Wireless Headphones,Electronics,11,157.44,False,False
2025-06-10,P001,Wireless Headphones,Electronics,12,152.07,False,False
2025-06-11,P001,Wireless Headphones,Electronics,5,160.01,False,False
2025-06-12,P001,Wireless Headphones,Electronics,10,141.31,False,False
2025-06-13,P001,Wireless Headphones,Electronics,10,153.2,False,False
2025-06-14,P001,Wireless Headphones,Electronics,6,148.25,False,False
2025-06-15,P001,Wireless Headphones,Electronics,13,150.34,False,False
2025-06-16,P001,Wireless Headphones,Electronics,12,163.79,False,False
2025-06-17,P001,Wireless Headphones,Electronics,15,154.77,False,False
2025-06-18,P001,Wireless Headphones,Electronics,15,154.92,False,False
2025-06-19,P001,Wireless Headphones,Electronics,3,137.8,False,False
